profile,threshold,coverage,review_rate,accepted_accuracy,accepted_defective_recall,unsafe_errors,unsafe_error_rate
micro_edge_dedup,0.5,1.0,0.0,0.9766839378238342,0.9783080260303688,10,0.012953367875647668
micro_edge_dedup,0.6,0.9844559585492227,0.015544041450777257,0.9828947368421053,0.9824561403508771,8,0.010526315789473684
micro_edge_dedup,0.7,0.9650259067357513,0.03497409326424872,0.9906040268456375,0.9889380530973452,5,0.006711409395973154
micro_edge_dedup,0.8,0.9494818652849741,0.050518134715025864,0.9931787175989086,0.9888641425389755,5,0.0068212824010914054
micro_edge_dedup,0.9,0.917098445595855,0.08290155440414504,0.9957627118644068,0.9931972789115646,3,0.00423728813559322
micro_edge_dedup,0.95,0.8678756476683938,0.13212435233160624,0.9970149253731343,0.9953703703703703,2,0.0029850746268656717
micro_edge_dedup,0.98,0.7629533678756477,0.23704663212435229,0.99830220713073,0.9975062344139651,1,0.001697792869269949
micro_edge_dedup_int8_exact,0.5,1.0,0.0,0.9753886010362695,0.9848156182212582,7,0.009067357512953367
micro_edge_dedup_int8_exact,0.6,0.9805699481865285,0.01943005181347146,0.9841479524438573,0.9890829694323144,5,0.0066050198150594455
micro_edge_dedup_int8_exact,0.7,0.9624352331606217,0.03756476683937826,0.9892328398384926,0.9889867841409692,5,0.006729475100942127
micro_edge_dedup_int8_exact,0.8,0.9352331606217616,0.06476683937823835,0.9944598337950139,0.9933333333333333,3,0.004155124653739612
micro_edge_dedup_int8_exact,0.9,0.8911917098445595,0.10880829015544047,0.997093023255814,0.9955156950672646,2,0.0029069767441860465
micro_edge_dedup_int8_exact,0.95,0.8277202072538861,0.17227979274611394,0.9984350547730829,0.9977064220183486,1,0.001564945226917058
micro_edge_dedup_int8_exact,0.98,0.7383419689119171,0.26165803108808294,0.9982456140350877,0.9975786924939467,1,0.0017543859649122807
