profile,threshold,coverage,review_rate,accepted_accuracy,accepted_defective_recall,false_ok_count,false_defective_count,unsafe_error_rate
micro_edge_int8_tflite_exact,0.5,1.0,0.0,0.993006993006993,0.9889624724061811,5,0,0.006993006993006993
micro_edge_int8_tflite_exact,0.6,0.993006993006993,0.006993006993006978,0.995774647887324,0.9933035714285714,3,0,0.004225352112676056
micro_edge_int8_tflite_exact,0.7,0.9818181818181818,0.018181818181818188,0.9971509971509972,0.9954545454545455,2,0,0.002849002849002849
micro_edge_int8_tflite_exact,0.8,0.9734265734265735,0.02657342657342654,0.9985632183908046,0.9977011494252873,1,0,0.0014367816091954023
micro_edge_int8_tflite_exact,0.9,0.916083916083916,0.08391608391608396,1.0,1.0,0,0,0.0
micro_edge_int8_tflite_exact,0.95,0.8587412587412587,0.14125874125874127,1.0,1.0,0,0,0.0
micro_edge_int8_tflite_exact,0.98,0.7510489510489511,0.24895104895104891,1.0,1.0,0,0,0.0
micro_edge_research,0.5,1.0,0.0,0.993006993006993,0.9889624724061811,5,0,0.006993006993006993
micro_edge_research,0.6,0.9958041958041958,0.004195804195804231,0.9971910112359551,0.9955555555555555,2,0,0.0028089887640449437
micro_edge_research,0.7,0.986013986013986,0.013986013986013957,0.9985815602836879,0.9977426636568849,1,0,0.0014184397163120568
micro_edge_research,0.8,0.9734265734265735,0.02657342657342654,0.9985632183908046,0.9977011494252873,1,0,0.0014367816091954023
micro_edge_research,0.9,0.9188811188811189,0.0811188811188811,1.0,1.0,0,0,0.0
micro_edge_research,0.95,0.8587412587412587,0.14125874125874127,1.0,1.0,0,0,0.0
micro_edge_research,0.98,0.7496503496503496,0.2503496503496504,1.0,1.0,0,0,0.0
